k,distance,value,precision,recall,mrr,mae,rmse
1,cosine,mean,0.7020833333333334,0.7020833333333334,0.7020833333333334,0.11503698016062944,0.21229549341664763
1,cosine,std,0.017574333849417794,0.017574333849417794,0.017574333849417794,0.006274520347327565,0.010836752433786328
1,pearson,mean,0.6888182299947008,0.6888182299947008,0.6888182299947008,0.11299034440239672,0.21813539319531744
1,pearson,std,0.023434780845680816,0.023434780845680816,0.023434780845680816,0.0036092040287817513,0.006713147931095224
1,euclidean,mean,0.7025061826532414,0.7025061826532414,0.7025061826532414,0.12221687642349438,0.21726422949364516
1,euclidean,std,0.033523165771700496,0.033523165771700496,0.033523165771700496,0.004376315702654348,0.005687326354011556
2,cosine,mean,0.6338566507684155,0.6338566507684155,0.9546165650945062,0.1089656924165195,0.20283464638794516
2,cosine,std,0.026194326394260354,0.026194326394260354,0.007900205304111034,0.004575609994823484,0.0070431054918515135
2,pearson,mean,0.6197423526467644,0.6197423526467644,0.9439746732026143,0.10769563903316502,0.21029419867828492
2,pearson,std,0.019544480899030745,0.019544480899030745,0.01169446426801578,0.003909304664194146,0.006680241262594052
2,euclidean,mean,0.6065516803568274,0.6065516803568274,0.929967375463699,0.11542535224500547,0.20501201322792836
2,euclidean,std,0.027574861996129824,0.027574861996129824,0.019269925651868424,0.00643072252017656,0.009346907188171636
3,cosine,mean,0.5588489224518637,0.5588489224518637,0.9547635871165283,0.10980167584884301,0.20647896166191831
3,cosine,std,0.019835102389592137,0.019835102389592137,0.01087458636291589,0.005346124614604052,0.007764838948380973
3,pearson,mean,0.5550257365208345,0.5550257365208345,0.9528513194567116,0.11113236094579676,0.21534901388055855
3,pearson,std,0.012714267265795767,0.012714267265795767,0.009584605611353289,0.0034047242874109263,0.005558723021465354
3,euclidean,mean,0.5398955941235353,0.5398955941235353,0.9343273420479304,0.11892157737343367,0.21250727313075213
3,euclidean,std,0.015675454277343834,0.015675454277343834,0.013365806211071671,0.0050962396292847205,0.00818161654146179
